SampleN,Longitude,Latitude,ALT_extract,Landscape,SumTS
A1_1_5,117.7015533,36.34113333,256,Flat,6.12953897
A1_1_6,117.7015533,36.34113333,256,Flat,9.2906143
A1_1_7,117.7015533,36.34113333,256,Flat,8.70437705
A1_1_8,117.7015533,36.34113333,256,Flat,3.78437703
A1_1_9,117.7015533,36.34113333,256,Flat,10.7154596
A1_1_10,117.7015533,36.34113333,256,Flat,8.89120817
A1_1_11,117.7015533,36.34113333,256,Flat,6.32845457
A1_1_12,117.7015533,36.34113333,256,Flat,7.54643674
A1_1_13,117.7015533,36.34113333,256,Flat,3.59501882
A1_1_14,117.7015533,36.34113333,256,Flat,4.48556404
A1_1_15,117.7015533,36.34113333,256,Flat,13.4620922
A1_2_5,117.700625,36.32658333,248,Flat,7.89563974
A1_2_7,117.700625,36.32658333,248,Flat,14.1591278
A1_2_8,117.700625,36.32658333,248,Flat,9.63754416
A1_2_9,117.700625,36.32658333,248,Flat,5.04564786
A1_2_10,117.700625,36.32658333,248,Flat,10.5454431
A1_2_11,117.700625,36.32658333,248,Flat,11.0847348
A1_2_12,117.700625,36.32658333,248,Flat,10.7952651
A1_2_13,117.700625,36.32658333,248,Flat,5.7962708
A1_2_14,117.700625,36.32658333,248,Flat,7.74037653
A1_2_15,117.700625,36.32658333,248,Flat,5.46909972
A1_3_3,117.7803967,36.32773667,285,Flat,6.23947766
A1_3_5,117.7803967,36.32773667,285,Flat,7.24609158
A1_3_6,117.7803967,36.32773667,285,Flat,10.2084263
A1_3_7,117.7803967,36.32773667,285,Flat,9.90580186
A1_3_8,117.7803967,36.32773667,285,Flat,17.8071906
A1_3_9,117.7803967,36.32773667,285,Flat,4.70883865
A1_3_10,117.7803967,36.32773667,285,Flat,4.02240725
A1_3_11,117.7803967,36.32773667,285,Flat,4.08367461
A1_3_12,117.7803967,36.32773667,285,Flat,7.22422965
A1_3_13,117.7803967,36.32773667,285,Flat,5.00796233
A1_3_14,117.7803967,36.32773667,285,Flat,6.82875902
A1_3_15,117.7803967,36.32773667,285,Flat,3.47156001
A1_4_1,117.8124817,36.34571167,348,Mountain,7.37012367
A1_4_2,117.8124817,36.34571167,348,Mountain,12.907508
A1_4_3,117.8124817,36.34571167,348,Mountain,15.0815699
A1_4_5,117.8124817,36.34571167,348,Mountain,4.04718574
A1_4_6,117.8124817,36.34571167,348,Mountain,6.41438498
A1_4_7,117.8124817,36.34571167,348,Mountain,15.4278473
A1_4_8,117.8124817,36.34571167,348,Mountain,11.813027
A1_4_9,117.8124817,36.34571167,348,Mountain,9.3748222
A1_4_10,117.8124817,36.34571167,348,Mountain,8.8521317
A1_4_11,117.8124817,36.34571167,348,Mountain,5.54630047
A1_4_12,117.8124817,36.34571167,348,Mountain,8.8863263
A1_4_13,117.8124817,36.34571167,348,Mountain,10.821524
A1_4_14,117.8124817,36.34571167,348,Mountain,8.98383235
A1_4_15,117.8124817,36.34571167,348,Mountain,14.5179675
A2_1_1,117.8964017,35.85612167,256,Mountain,8.63561063
A2_1_3,117.8964017,35.85612167,256,Mountain,5.20072162
A2_1_4,117.8964017,35.85612167,256,Mountain,3.42978411
A2_1_5,117.8964017,35.85612167,256,Mountain,4.68252791
A2_1_6,117.8964017,35.85612167,256,Mountain,14.3922317
A2_1_7,117.8964017,35.85612167,256,Mountain,5.15391004
A2_1_8,117.8964017,35.85612167,256,Mountain,9.31390025
A2_1_9,117.8964017,35.85612167,256,Mountain,2.52111707
A2_1_10,117.8964017,35.85612167,256,Mountain,6.2654502
A2_1_11,117.8964017,35.85612167,256,Mountain,5.0314173
A2_1_12,117.8964017,35.85612167,256,Mountain,9.15003471
A2_1_14,117.8964017,35.85612167,256,Mountain,4.40338309
A2_1_15,117.8964017,35.85612167,256,Mountain,4.28305784
A2_2_5,117.8948933,35.86023167,261,Mountain,3.59956276
A2_2_6,117.8948933,35.86023167,261,Mountain,3.67175536
A2_2_7,117.8948933,35.86023167,261,Mountain,5.87284298
A2_2_8,117.8948933,35.86023167,261,Mountain,4.73170575
A2_2_9,117.8948933,35.86023167,261,Mountain,7.20263991
A2_2_10,117.8948933,35.86023167,261,Mountain,4.22274933
A2_2_11,117.8948933,35.86023167,261,Mountain,6.40604933
A2_2_12,117.8948933,35.86023167,261,Mountain,4.55281768
A2_2_13,117.8948933,35.86023167,261,Mountain,5.69708636
A2_2_14,117.8948933,35.86023167,261,Mountain,5.785083
A2_2_15,117.8948933,35.86023167,261,Mountain,6.96029029
A2_3_1,117.9678967,35.843845,263,Flat,11.1553562
A2_3_4,117.9678967,35.843845,263,Flat,10.1387645
A2_3_5,117.9678967,35.843845,263,Flat,5.70933502
A2_3_6,117.9678967,35.843845,263,Flat,4.93086006
A2_3_7,117.9678967,35.843845,263,Flat,11.1689683
A2_3_8,117.9678967,35.843845,263,Flat,8.65291963
A2_3_9,117.9678967,35.843845,263,Flat,5.91388446
A2_3_10,117.9678967,35.843845,263,Flat,1.50115556
A2_3_11,117.9678967,35.843845,263,Flat,2.69239932
A2_3_12,117.9678967,35.843845,263,Flat,18.4061108
A2_3_13,117.9678967,35.843845,263,Flat,10.8818458
A2_3_14,117.9678967,35.843845,263,Flat,10.2193982
A2_3_15,117.9678967,35.843845,263,Flat,9.22936651
A3_1_4,117.6210833,35.35402833,267,Mountain,4.49855648
A3_1_5,117.6210833,35.35402833,267,Mountain,8.62403927
A3_1_6,117.6210833,35.35402833,267,Mountain,8.43381684
A3_1_7,117.6210833,35.35402833,267,Mountain,3.91028568
A3_1_8,117.6210833,35.35402833,267,Mountain,5.5455326
A3_1_9,117.6210833,35.35402833,267,Mountain,6.64494442
A3_1_10,117.6210833,35.35402833,267,Mountain,7.51144827
A3_1_11,117.6210833,35.35402833,267,Mountain,14.0538438
A3_1_12,117.6210833,35.35402833,267,Mountain,6.71343546
A3_1_13,117.6210833,35.35402833,267,Mountain,6.25402875
A3_1_14,117.6210833,35.35402833,267,Mountain,8.02713565
A3_1_15,117.6210833,35.35402833,267,Mountain,7.05582551
A3_2_1,117.7570033,35.57754833,202,Flat,8.85572304
A3_2_2,117.7570033,35.57754833,202,Flat,8.40736587
A3_2_5,117.7570033,35.57754833,202,Flat,6.36538686
A3_2_6,117.7570033,35.57754833,202,Flat,15.540286
A3_2_7,117.7570033,35.57754833,202,Flat,7.56958564
A3_2_8,117.7570033,35.57754833,202,Flat,6.36115135
A3_2_9,117.7570033,35.57754833,202,Flat,13.2495414
A3_2_10,117.7570033,35.57754833,202,Flat,4.33328152
A3_2_11,117.7570033,35.57754833,202,Flat,6.56621801
A3_2_12,117.7570033,35.57754833,202,Flat,3.69677213
A3_2_13,117.7570033,35.57754833,202,Flat,6.30232157
A3_2_14,117.7570033,35.57754833,202,Flat,11.414092
A3_2_15,117.7570033,35.57754833,202,Flat,5.29310059
A3_3_2,117.9239183,35.90768667,271,Hills,4.09674206
A3_3_5,117.9239183,35.90768667,271,Hills,5.2714414
A3_3_6,117.9239183,35.90768667,271,Hills,3.88028085
A3_3_7,117.9239183,35.90768667,271,Hills,8.55818376
A3_3_8,117.9239183,35.90768667,271,Hills,6.45109927
A3_3_9,117.9239183,35.90768667,271,Hills,3.58956517
A3_3_10,117.9239183,35.90768667,271,Hills,5.98206333
A3_3_11,117.9239183,35.90768667,271,Hills,4.50307087
A3_3_12,117.9239183,35.90768667,271,Hills,3.80522044
A3_3_13,117.9239183,35.90768667,271,Hills,8.43595922
A3_3_14,117.9239183,35.90768667,271,Hills,4.24431618
A3_3_15,117.9239183,35.90768667,271,Hills,7.47977887
A5_1_1,115.4097222,35.58472222,56,Flat,9.07404803
A5_1_2,115.4097222,35.58472222,56,Flat,13.1951828
A5_1_3,115.4097222,35.58472222,56,Flat,11.8516862
A5_1_4,115.4097222,35.58472222,56,Flat,12.131657
A5_1_5,115.4097222,35.58472222,56,Flat,18.7645276
A5_1_6,115.4097222,35.58472222,56,Flat,21.4486654
A5_1_7,115.4097222,35.58472222,56,Flat,14.898623
A5_1_8,115.4097222,35.58472222,56,Flat,17.1878259
A5_1_9,115.4097222,35.58472222,56,Flat,3.12917722
A5_1_10,115.4097222,35.58472222,56,Flat,6.82570885
A5_1_11,115.4097222,35.58472222,56,Flat,14.9494809
A5_1_12,115.4097222,35.58472222,56,Flat,12.3400376
A5_1_13,115.4097222,35.58472222,56,Flat,7.59879261
A5_1_14,115.4097222,35.58472222,56,Flat,8.89757047
A5_1_15,115.4097222,35.58472222,56,Flat,9.26392582
A5_1_16,115.4097222,35.58472222,56,Flat,14.9150658
A5_1_13d,115.4097222,35.58472222,56,Flat,8.56641583
A5_1_14d,115.4097222,35.58472222,56,Flat,11.5411993
A5_2_1,115.4958333,35.5,53,Flat,11.5534482
A5_2_2,115.4958333,35.5,53,Flat,14.0181308
A5_2_3,115.4958333,35.5,53,Flat,14.3742917
A5_2_4,115.4958333,35.5,53,Flat,13.7902942
A5_2_5,115.4958333,35.5,53,Flat,13.8006457
A5_2_6,115.4958333,35.5,53,Flat,15.9131394
A5_2_7,115.4958333,35.5,53,Flat,9.52888762
A5_2_8,115.4958333,35.5,53,Flat,12.3230494
A5_2_9,115.4958333,35.5,53,Flat,10.2371666
A5_2_10,115.4958333,35.5,53,Flat,10.5598095
A5_2_11,115.4958333,35.5,53,Flat,2.64643363
A5_2_12,115.4958333,35.5,53,Flat,12.8053526
A5_2_13,115.4958333,35.5,53,Flat,9.17975548
A5_2_14,115.4958333,35.5,53,Flat,15.323941
A5_2_15,115.4958333,35.5,53,Flat,14.6181507
A5_2_16,115.4958333,35.5,53,Flat,11.4306093
A5_3_4,115.6869444,35.66666667,48,Flat,13.1229181
A5_3_5,115.6869444,35.66666667,48,Flat,5.89808975
A5_3_6,115.6869444,35.66666667,48,Flat,8.17340101
A5_3_7,115.6869444,35.66666667,48,Flat,11.2357642
A5_3_8,115.6869444,35.66666667,48,Flat,6.71893528
A5_3_9,115.6869444,35.66666667,48,Flat,14.8336788
A5_3_10,115.6869444,35.66666667,48,Flat,7.89675979
A5_3_11,115.6869444,35.66666667,48,Flat,9.28840264
A5_3_12,115.6869444,35.66666667,48,Flat,11.5495939
A5_3_13,115.6869444,35.66666667,48,Flat,11.0298568
A5_3_14,115.6869444,35.66666667,48,Flat,13.2416985
A5_3_15,115.6869444,35.66666667,48,Flat,10.8381637
B2_2_8,114.430339,38.339387,108,Flat,0.86013661
B2_2_9,114.430339,38.339387,108,Flat,2.53586201
B2_2_10,114.430339,38.339387,108,Flat,0.81259666
B2_2_11,114.430339,38.339387,108,Flat,1.20238711
B2_2_12,114.430339,38.339387,108,Flat,2.93275107
B2_2_13,114.430339,38.339387,108,Flat,2.57547244
B2_2_14,114.430339,38.339387,108,Flat,1.98345004
B2_2_15,114.430339,38.339387,108,Flat,0.80849201
B2_3_1,114.296391,38.514041,176,Flat,3.92223082
B2_3_2,114.296391,38.514041,176,Flat,1.99140431
B2_3_3,114.296391,38.514041,176,Flat,2.50644711
B2_3_4,114.296391,38.514041,176,Flat,2.09653015
B2_3_6,114.296391,38.514041,176,Flat,0.54716445
B2_3_7,114.296391,38.514041,176,Flat,3.00859392
B2_3_9,114.296391,38.514041,176,Flat,1.81311299
B2_3_10,114.296391,38.514041,176,Flat,1.21997383
B2_3_11,114.296391,38.514041,176,Flat,2.06810664
B2_3_12,114.296391,38.514041,176,Flat,1.6341739
B2_3_13,114.296391,38.514041,176,Flat,1.27781695
B2_3_14,114.296391,38.514041,176,Flat,3.52892555
B3_1_5,115.257991,38.489539,34,Flat,0.84982267
B3_1_6,115.257991,38.489539,34,Flat,1.0154581
B3_1_7,115.257991,38.489539,34,Flat,1.14023282
B3_1_8,115.257991,38.489539,34,Flat,0.94787888
B3_1_9,115.257991,38.489539,34,Flat,1.49296155
B3_1_10,115.257991,38.489539,34,Flat,1.58529708
B3_1_11,115.257991,38.489539,34,Flat,1.98900487
B3_1_12,115.257991,38.489539,34,Flat,1.93724039
B3_1_13,115.257991,38.489539,34,Flat,1.1756118
B3_1_14,115.257991,38.489539,34,Flat,1.96029139
B3_2_5,115.257577,38.45659,35,Flat,3.0177288
B3_2_6,115.257577,38.45659,35,Flat,4.36629786
B3_2_7,115.257577,38.45659,35,Flat,3.06934659
B3_2_8,115.257577,38.45659,35,Flat,4.43310655
B3_2_9,115.257577,38.45659,35,Flat,5.54839835
B3_2_10,115.257577,38.45659,35,Flat,3.57391581
B3_2_11,115.257577,38.45659,35,Flat,4.69591199
B3_2_13,115.257577,38.45659,35,Flat,3.39249889
B3_2_14,115.257577,38.45659,35,Flat,4.46871695
B3_2_15,115.257577,38.45659,35,Flat,7.89368061
B3_3_5,115.306547,38.342529,31,Flat,0.69650165
B3_3_6,115.306547,38.342529,31,Flat,1.17551942
B3_3_7,115.306547,38.342529,31,Flat,2.51494815
B3_3_8,115.306547,38.342529,31,Flat,0.45407133
B3_3_9,115.306547,38.342529,31,Flat,0.8273304
B3_3_10,115.306547,38.342529,31,Flat,0.86805331
B3_3_11,115.306547,38.342529,31,Flat,1.13340464
B3_3_13,115.306547,38.342529,31,Flat,0.51373908
B3_3_14,115.306547,38.342529,31,Flat,0.69984957
B3_3_15,115.306547,38.342529,31,Flat,0.23996605
C1_1_1,112.915753,33.347481,231,Slope,9.28917591
C1_1_2,112.915753,33.347481,231,Slope,18.1656021
C1_1_3,112.915753,33.347481,231,Slope,13.3148562
C1_1_4,112.915753,33.347481,231,Slope,5.48009605
C1_1_5,112.915753,33.347481,231,Slope,14.2906471
C1_1_6,112.915753,33.347481,231,Slope,6.55533934
C1_1_7,112.915753,33.347481,231,Slope,7.73165642
C1_1_8,112.915753,33.347481,231,Slope,3.16567685
C1_1_9,112.915753,33.347481,231,Slope,3.88428563
C1_1_10,112.915753,33.347481,231,Slope,9.92776122
C1_1_11,112.915753,33.347481,231,Slope,15.1166877
C1_1_12,112.915753,33.347481,231,Slope,11.6129034
C1_1_13,112.915753,33.347481,231,Slope,8.44888142
C1_1_14,112.915753,33.347481,231,Slope,5.17560108
C1_1_15,112.915753,33.347481,231,Slope,9.26339787
C1_2_1,113.155346,33.177072,197,Mountain,10.7044857
C1_2_2,113.155346,33.177072,197,Mountain,6.13841237
C1_2_3,113.155346,33.177072,197,Mountain,3.73709508
C1_2_4,113.155346,33.177072,197,Mountain,5.51472793
C1_2_5,113.155346,33.177072,197,Mountain,3.46969329
C1_2_6,113.155346,33.177072,197,Mountain,1.32017311
C1_2_7,113.155346,33.177072,197,Mountain,8.9922877
C1_2_8,113.155346,33.177072,197,Mountain,4.31284145
C1_2_9,113.155346,33.177072,197,Mountain,7.39142619
C1_2_10,113.155346,33.177072,197,Mountain,4.46507626
C1_2_11,113.155346,33.177072,197,Mountain,5.66848097
C1_2_12,113.155346,33.177072,197,Mountain,3.20702526
C1_2_13,113.155346,33.177072,197,Mountain,10.3059194
